title,link
NuPhone YC F24 Application Video (Rejected),https://www.youtube.com/watch?v=bCcFG4Cmypo
Makerlog's YC S21 Application Video,https://www.youtube.com/watch?v=DqL4_UsR0V8
aPort (YC W23) Application Video,https://www.youtube.com/watch?v=ylPFQrQ21bg
YC Summer 2023 Application Video - Determinant Materials,https://www.youtube.com/watch?v=PsUPSjYaIqE
YC-S17 Application - OWNRIDES,https://www.youtube.com/watch?v=MqtzXIt4ALc
Jugaplay (YC W2018) Application Video,https://www.youtube.com/watch?v=xDWTFhBjpY4
HeyAddy (Y Combinator Winter 2020) Application Video,https://www.youtube.com/watch?v=VKwa1sa1W54
GitRoll (YC S24) Application Video,https://www.youtube.com/watch?v=hI5cjgtdLr0
Twos - YC Application W22,https://www.youtube.com/watch?v=bzLWTHWdYrg
Fiona YC Application for Summer 2019,https://www.youtube.com/watch?v=0TkfGnDNjnY
Juphy - YC Summer'23 Application Video,https://www.youtube.com/watch?v=2CVPVkXqxJI
REPOWR YC Application Video,https://www.youtube.com/watch?v=3oqWuE7cCys
SHL - YC Summer 2015 Application Video,https://www.youtube.com/watch?v=0e4EClFMLwY
Basil -- Y Combinator S14 Application,https://www.youtube.com/watch?v=PeuegIORWB8
YC Application Video   08 Septembre 2021   Winter 2021,https://www.youtube.com/watch?v=hqseJqSdjDs
YC Application video - W19,https://www.youtube.com/watch?v=AiCaRDtIulM
ibeether (YC W2017) Application Video,https://www.youtube.com/watch?v=TL1ZfzgKqUw
fyesta - YCombinator Application Video (S23),https://www.youtube.com/watch?v=SNunXLqU8_4
YCombinator Application Video: imgix,https://www.youtube.com/watch?v=QunJMCoc0Qo
Andrew Parks YC W2018 Application Video,https://www.youtube.com/watch?v=Iq7an2LsZTo
Sahara (YC S21) Application Video,https://www.youtube.com/watch?v=RrxyTa0cp5o
YCombinator (YC W2018) Application Video,https://www.youtube.com/watch?v=pXKcHwf0jjY
YC Application Summer 2017 Batch - Collabb,https://www.youtube.com/watch?v=DS3Z1Hxcr_E
Slip (YC S21) Application Video - Update: We were accepted to YC!,https://www.youtube.com/watch?v=Ve6cQTtY7aM
Sensei (YC W25) Application Video,https://www.youtube.com/watch?v=E9jDBWTGasw
Racct F24 YC Application Video,https://www.youtube.com/watch?v=V_HrKN2S8no
HubUx - YC Winter 2020 Application Video,https://www.youtube.com/watch?v=Jxmw8kEoPUc
Y-Combinator Application Video,https://www.youtube.com/watch?v=BUWbgNWUBLA
Favour-YC S21 | Application Video,https://www.youtube.com/watch?v=nzr0-u85JjY
DoorDash’s Application Video for YC in 2013,https://www.youtube.com/shorts/SfvwFQzqPkA
YC Winter 2023 Application - Founder Video - Alan Benjamin He,https://www.youtube.com/watch?v=KhaSioOWE_k
UnderWing YC W21 Application Video,https://www.youtube.com/watch?v=8jQAb7Wq4n0
PNL YC Application Video,https://www.youtube.com/watch?v=_AoNCQbHTRo
Advizion's YC S25 Application Video,https://www.youtube.com/watch?v=9H-sT5Sp4cQ
Tribe (YC W20) Application video,https://www.youtube.com/watch?v=Lv3eev4ZtJc
[ACCEPTED] Lumona's YC W24 Application Video,https://www.youtube.com/watch?v=R6G8GrDSPTU
The Winter 2025 application deadline is in less than a week! Apply at ycombinator.com/apply.,https://www.youtube.com/shorts/rePH4tln5VY
YC Summer 2019 Application Video: Smake Inc.,https://www.youtube.com/watch?v=j7xMiXgRepQ
GDG YC S18 Application Video,https://www.youtube.com/watch?v=b2E6oAoOz6U
FINT YC(S20) Application Video,https://www.youtube.com/watch?v=TZ3ONfYqiwQ
Jobgator  (YC W2018) Application Video,https://www.youtube.com/watch?v=2koLjFgPeCs
YCombinator Application Video,https://www.youtube.com/watch?v=k1MuBb8U510
YC Application.mp4,https://www.youtube.com/watch?v=REl2gCjcyp4
Eat Together (YC W16 Application video),https://www.youtube.com/watch?v=cq99ELl9wAg
DoorDash's Application Video for YC S13,https://www.youtube.com/watch?v=Rzlr2tNSl0U
Guava's Application Video for YC W24,https://www.youtube.com/watch?v=c3neIFL54XU
Ami (YC W22) Application Video,https://www.youtube.com/watch?v=kMr1Z_WaCSY
Clientpulse (YC W25) Application Video,https://www.youtube.com/watch?v=y_Q2C9JcfEM
Esoteric Y Combinator Application Video (Winter 2022),https://www.youtube.com/watch?v=jHHYEu6g-c0
inspectX YC Application Video - Summer 2018,https://www.youtube.com/watch?v=pP4PC0I0Ejc
Tupp-Aware (YC 2021) Application Video,https://www.youtube.com/watch?v=Rrecht3DlsA
NEED / Duffl (YC W20) Application Video [Oct. 2019],https://www.youtube.com/watch?v=luZQ15ezrWA
"YCombinator application video Talky AI, Inc. W2018",https://www.youtube.com/watch?v=45fNbwNTcto
